"","unoise","bnoise","loss"
"1",0,0,0.460253567777777
"2",0,25,0.472779167777777
"3",0,50,0.469886901111111
"4",0,75,0.434818967777777
"5",0,100,0.358067234444444
"6",0,125,0.256163434444444
"7",0,150,0.192272434444444
"8",0,175,0.165103234444444
"9",0,200,0.166616967777778
"10",0,225,0.177313767777778
"11",0,250,0.218430301111111
"12",0.1,0,0.470667367777778
"13",0.1,25,0.471903567777777
"14",0.1,50,0.478053501111111
"15",0.1,75,0.440118967777777
"16",0.1,100,0.361091434444444
"17",0.1,125,0.267767167777778
"18",0.1,150,0.192663501111111
"19",0.1,175,0.164453234444444
"20",0.1,200,0.166027634444444
"21",0.1,225,0.176084834444445
"22",0.1,250,0.207991434444445
"23",0.2,0,0.474822967777777
"24",0.2,25,0.465118367777777
"25",0.2,50,0.476103167777778
"26",0.2,75,0.442300501111111
"27",0.2,100,0.356178101111111
"28",0.2,125,0.243035234444444
"29",0.2,150,0.208447834444444
"30",0.2,175,0.168025501111111
"31",0.2,200,0.164879367777778
"32",0.2,225,0.183942701111111
"33",0.2,250,0.202484434444445
"34",0.3,0,0.473723901111111
"35",0.3,25,0.462208501111111
"36",0.3,50,0.463345834444444
"37",0.3,75,0.440181101111111
"38",0.3,100,0.347338234444444
"39",0.3,125,0.251257434444444
"40",0.3,150,0.194121501111111
"41",0.3,175,0.159310301111111
"42",0.3,200,0.160536634444444
"43",0.3,225,0.180722701111111
"44",0.3,250,0.195674234444445
"45",0.4,0,0.453762767777777
"46",0.4,25,0.441536501111111
"47",0.4,50,0.458299634444444
"48",0.4,75,0.420738367777777
"49",0.4,100,0.332823701111111
"50",0.4,125,0.249238701111111
"51",0.4,150,0.193782034444444
"52",0.4,175,0.167426701111111
"53",0.4,200,0.164381367777778
"54",0.4,225,0.181373234444445
"55",0.4,250,0.218453101111111
"56",0.5,0,0.418816901111111
"57",0.5,25,0.432534434444444
"58",0.5,50,0.405356167777777
"59",0.5,75,0.411855967777777
"60",0.5,100,0.332736434444444
"61",0.5,125,0.230784434444444
"62",0.5,150,0.182085701111111
"63",0.5,175,0.142844234444444
"64",0.5,200,0.153945701111111
"65",0.5,225,0.164157101111111
"66",0.5,250,0.184321367777778
"67",0.6,0,0.368780701111111
"68",0.6,25,0.381625967777778
"69",0.6,50,0.357147634444444
"70",0.6,75,0.325274567777778
"71",0.6,100,0.273551434444444
"72",0.6,125,0.203112501111111
"73",0.6,150,0.149776501111111
"74",0.6,175,0.132479234444444
"75",0.6,200,0.139640101111111
"76",0.6,225,0.163208834444445
"77",0.6,250,0.176098501111111
"78",0.7,0,0.335180434444444
"79",0.7,25,0.310733967777778
"80",0.7,50,0.324205701111111
"81",0.7,75,0.291943367777778
"82",0.7,100,0.246095234444444
"83",0.7,125,0.197471634444444
"84",0.7,150,0.153792501111111
"85",0.7,175,0.143829501111111
"86",0.7,200,0.146510434444445
"87",0.7,225,0.164203167777778
"88",0.7,250,0.197639767777778
"89",0.8,0,0.306889901111111
"90",0.8,25,0.305768967777778
"91",0.8,50,0.297967234444444
"92",0.8,75,0.283839701111111
"93",0.8,100,0.250371567777778
"94",0.8,125,0.211178367777778
"95",0.8,150,0.151476834444444
"96",0.8,175,0.172560301111111
"97",0.8,200,0.160971101111111
"98",0.8,225,0.183019234444445
"99",0.8,250,0.193205967777778
"100",0.9,0,0.291633767777778
"101",0.9,25,0.314735301111111
"102",0.9,50,0.295031367777778
"103",0.9,75,0.294042167777778
"104",0.9,100,0.259991234444444
"105",0.9,125,0.198139434444444
"106",0.9,150,0.202897434444445
"107",0.9,175,0.209923301111111
"108",0.9,200,0.187805634444445
"109",0.9,225,0.204490434444445
"110",0.9,250,0.249758101111111
"111",1,0,0.336726501111111
"112",1,25,0.335416701111111
"113",1,50,0.353124301111111
"114",1,75,0.341562634444445
"115",1,100,0.295203167777778
"116",1,125,0.262787301111111
"117",1,150,0.235856634444445
"118",1,175,0.250546167777778
"119",1,200,0.248813701111111
"120",1,225,0.272679034444445
"121",1,250,0.284834634444445
"122",1.1,0,0.380374701111111
"123",1.1,25,0.382117034444445
"124",1.1,50,0.368268501111111
"125",1.1,75,0.371793167777778
"126",1.1,100,0.348325901111111
"127",1.1,125,0.332992101111111
"128",1.1,150,0.321797967777778
"129",1.1,175,0.324752567777778
"130",1.1,200,0.315168901111111
"131",1.1,225,0.342780434444445
"132",1.1,250,0.366882901111111
"133",1.2,0,0.421290434444445
"134",1.2,25,0.435910234444445
"135",1.2,50,0.473168034444445
"136",1.2,75,0.449736834444445
"137",1.2,100,0.433316834444445
"138",1.2,125,0.404777167777778
"139",1.2,150,0.414474901111111
"140",1.2,175,0.389674301111111
"141",1.2,200,0.438988634444445
"142",1.2,225,0.452669967777778
"143",1.2,250,0.459373301111111
